Applethorpe,-28.613948,151.955491
Appletree Flat,-32.512305,150.864848
Apslawn,-41.956623,148.164872
Apsley,-36.967557,141.080748
Apsley NSW,-32.598356,148.963925
Apsley TAS,-42.41812,147.138308
Arable,-36.367368,148.945534
Arakoon,-30.888231,153.066955
Araluen NSW,-35.64693,149.812149
Araluen QLD,-26.159492,152.667669
Aramac,-22.97216,145.24543
Aramara,-25.611275,152.325924
Arana Hills,-27.397523,152.959538
Aranbanga,-25.806808,151.670067
Aranda,-35.257964,149.075648
Arapiles,-36.779163,141.762526
Ararat,-37.284301,142.928227
Aratula NSW,-35.511748,145.051193
Aratula QLD,-27.981456,152.548619
Arcadia NSW,-33.623101,151.052726
Arcadia QLD,-19.151037,146.86423
Arcadia Vale,-33.060343,151.575815
Arcadia VIC,-36.541604,145.362556
Archdale,-36.830903,143.502295
Archdale Junction,-36.884915,143.517311
Archer River,-13.429103,142.941374
Archerfield,-27.568388,153.024165
Archerton,-36.894465,146.256507
Archies Creek,-38.541874,145.55404
Ardath,-32.032709,118.095466
Ardeer,-37.78292,144.801018
Ardglen,-31.734505,150.785588
Arding,-30.588547,151.556745
Ardlethan,-34.357355,146.903401
Ardmona,-36.378536,145.295366
Ardross,-32.024879,115.841414
Ardrossan,-34.422953,137.916805
Areegra,-36.236565,142.687307
Areyonga,-24.166937,132.286759
Argalong,-35.315496,148.453868
Argenton,-32.934813,151.630879
Argents Hill,-30.621952,152.746326
Argoon NSW,-34.858279,145.674146
Argoon QLD,-24.222873,150.427462
Argyle NSW,-30.523571,151.791612
Argyle VIC,-36.944132,144.732986
Argyle WA,-33.548215,115.766342
Argyll,-23.277321,147.562498
Ariah Park,-34.348105,147.221222
Arkell,-33.727778,149.382952
Arkstone,-34.042417,149.64425
Armadale VIC,-37.85934,145.018505
Armadale WA,-32.152386,116.008274
Argentina,-38.416097,-63.616672
Armagh,-33.836794,138.57943
Armatree,-31.453726,148.407695
Armenia,40.069099,45.038189
Armidale,-30.514166,151.668986
Armstrong,-37.210025,142.884986
Armstrong Beach,-21.454914,149.289562
Armstrong Creek,-27.225617,152.797905
Arncliffe,-33.936592,151.146805
Arndell Park,-33.787266,150.871959
Arno Bay,-33.911901,136.568345
Arnold,-36.690822,143.868371
Aroona,-26.775377,153.113173
Arrawarra,-30.059596,153.18789
Arrawarra Headland,-30.059771,153.202738
Arriga,-17.109908,145.301993
Arrino,-29.440061,115.628368
Arrowsmith,-29.543558,115.06993
Artarmon,-33.807664,151.189662
Arthur River TAS,-41.059551,144.681865
Arthur River WA,-33.338053,117.034172
Arthurs Creek,-37.587697,145.218156
Arthurs Lake,-42.002494,146.965925
Arthurs Seat,-38.354428,144.949793
Arthurton,-34.257529,137.7564
Arthurville,-32.554843,148.742709
Aruba,12.52111,-69.968338
Arumpo,-33.873621,142.885264
Arundel,-27.939708,153.372781
Ascot Park,-34.986929,138.564635
Ascot QLD,-27.43027,153.058679
Ascot Vale,-37.77583,144.923377
Ascot VIC,-37.40088,143.802511
Ascot WA,-31.940682,115.923003
Ashbourne SA,-35.282825,138.770184
Ashbourne VIC,-37.385948,144.446407
Ashburton,-37.863393,145.07942
Ashbury,-33.901897,151.11932
Ashby Heights,-29.413743,153.179387
Ashby Island,-29.430968,153.202632
Ashby NSW,-29.423925,153.187448
Ashby WA,-31.734209,115.792445
Ashcroft,-33.917587,150.899095
Ashendon,-32.10398,116.192636
Ashfield NSW,-33.889498,151.127444
Ashfield QLD,-24.867078,152.385732
Ashfield WA,-31.915202,115.937635
Ashford NSW,-29.321245,151.096081
Ashford SA,-34.948705,138.57395
Ashgrove,-27.445603,152.99212
Ashley,-29.317772,149.808064
Ashmont,-35.12318,147.329956
Ashmore,-27.986382,153.382051
Ashmore City,-27.977364,153.380597
Ashton,-34.939733,138.73739
Ashtonfield,-32.77382,151.601
Ashville,-35.510451,139.365759
Ashwell,-27.628455,152.560103
Ashwood,-37.864686,145.093061
Aspendale,-38.026479,145.101908
Aspendale Gardens,-38.023456,145.118374
Aspley,-27.36386,153.015737
Asquith,-33.687484,151.108685
Athelstone,-34.869798,138.702852
Atherton,-17.268273,145.47457
Athlone,-38.239904,145.779817
Athol,-27.615354,151.774846
Athol Park,-34.857676,138.542627
Atholwood,-28.999641,151.058013
Atkinsons Dam,-27.421011,152.455509
Attadale,-32.02581,115.80135
Attwood,-37.667515,144.88529
Atwell,-32.132801,115.860591
Aubigny,-27.522226,151.641744
Aubin Grove,-32.168408,115.861123
Aubrey,-36.241102,142.234143
Auburn,-37.832121,145.044832
Auburn NSW,-33.849322,151.033421
Auburn SA,-34.028001,138.681644
Auburn Vale,-29.83895,151.041719
Acheron,-37.252433,145.702015
Auchenflower,-27.475531,152.993415
Auchmore,-36.474005,144.1055
Audley,-34.075295,151.056519
Augathella,-25.794685,146.586608
Augusta,-34.315942,115.159731
Augustine Heights,-27.669147,152.89354
Auldana,-34.919717,138.684397
Aurukun,-13.602923,141.816156
Aurville,-34.547823,148.370154
Austinmer,-34.306283,150.934563
Austins Ferry,-42.766405,147.243418
Austinville,-28.135818,153.317485
Austral,-33.933109,150.812031
Austral Eden,-31.021949,152.937797
Australia,-25.274398,133.775136
Australia Fair,-27.968379,153.415136
Australia Plains,-34.093799,139.169087
Australia Square,-33.891788,151.176251
Australian National University,-35.277272,149.117136
Australind,-33.279034,115.71443
Avalon Beach,-33.636325,151.330596
Aveley,-31.771612,116.007663
Avenel,-36.892793,145.23059
Avenell Heights,-24.890477,152.373881
Avenue Range,-34.803467,138.755016
Avisford,-32.745583,149.480112
Avoca Beach,-33.464937,151.432387
Avoca Dell,-35.088554,139.308967
Avoca NSW,-34.613522,150.479323
Avoca QLD,-24.881847,152.312547
Avoca TAS,-41.782149,147.720441
Avoca Vale,-26.755807,152.235564
Avoca VIC,-37.088539,143.473798
Avon Downs,-20.231104,137.762232
Avon NSW,-34.352071,150.634745
Avon Plains,-36.544552,142.921227
Avon SA,-34.281161,138.338749
Avon Valley National Park,-31.622485,116.207151
Avondale Heights,-37.742284,144.81515
Avondale QLD,-24.74144,152.161231
Avonmore,-36.529882,144.604459
Avonside,-36.438997,148.701689
Avonsleigh,-37.920702,145.467246
Awaba,-33.007739,151.543407
Axe Creek,-36.848927,144.419476
Axedale,-36.787917,144.504133
Aylmerton,-34.419069,150.492737
Ayr,-19.576054,147.405171
Ayrford,-38.415663,142.85945
Azerbaijan,40.143105,47.576927
Baan Baa,-30.60138,149.966153
Baandee,-31.581509,117.991421
Babakin,-32.126295,118.022769
Babbage Island,-24.874403,113.632427
Babinda NSW,-31.940261,146.479353
Babinda QLD,-17.344418,145.924815
Babyl Creek,-28.730383,152.795939
Bacchus Marsh,-37.675855,144.437663
Back Creek Central NSW,-33.828897,147.446045
Back Creek North Coast NSW,-28.40351,153.171821
Back Creek North NSW,-30.108145,150.275755
Back Creek South Coast NSW,-35.344316,149.940738
Back Forest,-34.853655,150.678507
Back Plains,-27.894403,151.799775
Back Valley,-35.534413,138.529512
Backmede,-28.77259,153.018771
Backwater,-30.075367,151.880535
Baddaginnie,-36.592633,145.861036
Baden,-42.426554,147.467699
Badgebup,-33.633615,117.898909
Badger Creek,-37.686067,145.541351
Badger Head,-41.101676,146.674021
Badgerin Rock,-30.691457,117.274368
Badgerys Creek,-33.883376,150.741351
Badgin,-31.846267,117.011892
Badgingarra,-30.387022,115.496702
Badja,-36.076239,149.531732
Badjaling,-31.903057,117.44455
Badu Island,-10.120146,142.139423
Bael Bael,-35.6768,143.727205
Baerami,-32.389105,150.470217
Baerami Creek,-32.520217,150.454381
Baffle Creek,-24.473289,151.948748
Baffle West,-25.724492,148.672028
Bagdad,-42.626935,147.222121
Bagdad North,-42.587529,147.262872
Bagnoo,-31.463639,152.533221
Bago,-31.488259,152.660113
Bagot,-12.410444,130.856124
Bagot Well,-34.30179,138.982817
Bagotville,-28.974576,153.406938
Bagshot,-36.654973,144.403153
Bahgallah,-37.6391,141.365747
Bahrs Scrub,-27.739135,153.16678
Bailieston,-36.699872,145.034359
Bailup,-31.738368,116.295706
Baird Bay,-33.142057,134.362438
Bairnsdale,-37.825114,147.628962
Bajool,-23.651894,150.641144
Bakara,-34.65657,139.779968
Bakara Well,-34.603514,139.875058
Bakers Beach,-41.185628,146.61064
Bakers Bend,-26.647239,146.176789
Bakers Creek Mid North Coast NSW,-31.960468,152.108511
Bakers Creek NSW,-30.268999,151.015214
Bakers Creek QLD,-21.219047,149.147044
Bakers Hill,-31.747506,116.459591
Bakers Swamp,-32.778925,148.923303
Bakery Hill,-37.560917,143.867158
Baking Board,-26.706834,150.545144
Balaclava,-37.869023,144.995478
Balaklava,-34.147422,138.415626
Balala,-30.612086,151.335783
Balbarrup,-34.227522,116.203528
Balberra,-21.306414,149.11972
Balcatta,-31.863835,115.817189
Balcolyn,-33.095642,151.553169
Balcomba,-23.401286,149.647934
Bald Blair,-30.181416,151.795706
Bald Hills NSW,-36.912886,149.847662
Bald Hills QLD,-27.306169,153.0126
Bald Hills SA,-35.495827,138.39325
Bald Hills VIC,-37.450713,143.839388
Bald Knob,-26.775957,152.892993
Bald Nob,-29.644588,151.962405
Bald Ridge,-33.934672,149.428474
Baldersleigh,-30.263771,151.430274
Baldivis,-32.331964,115.821549
Baldry,-32.865448,148.500123
Balfes Creek,-20.21594,145.909498
Balfours Peak,-29.510948,150.751185
Balga,-31.861285,115.84319
Balgal Beach,-19.023082,146.413639
Balgowan QLD,-27.247876,151.695191
Balgowan SA,-34.324332,137.494924
Balgowlah,-33.794121,151.26268
Balgowlah Heights,-33.800553,151.257401
Balgownie,-34.38859,150.877689
Balhannah,-34.990072,138.827913
Balickera,-32.673022,151.805367
Balingup,-33.786518,115.98381
Balintore,-38.274944,143.585061
Balkuling,-31.943876,117.138378
Ball Bay,-20.90451,148.99513
Balla Balla,-20.6949,117.787581
Balladong,-31.908946,116.732848
Balladonia,-32.466106,123.832359
Balladoran,-31.852136,148.626475
Ballajura,-31.83574,115.891911
Ballalaba,-35.572682,149.666842
Ballan,-37.60016,144.225458
Ballandean,-28.798985,151.842238
